
422 rows returned

id     | filename                                                                                                                                | filepath                                                                                                                                                                          | sourceintegratedlufs | sourceloudnessrangelu | sourcetruepeakdbtp | transcodedbymediavortex | pass_count | category       
684031 | Cobra Kai - S03E09 - Feel The Night WEBDL-720p-mv.mp4                                                                                   | T:\Cobra Kai\Season 3\Cobra Kai - S03E09 - Feel The Night WEBDL-720p-mv.mp4                                                                                                       | -23.5                | 17.2                  | 2.5                | None                    | 1          | severe_clipping
683018 | The Mandalorian - S03E02 - Chapter 18 - The Mines of Mandalore WEBDL-480p-mv-mv.mp4                                                     | T:\The Mandalorian\Season 3\The Mandalorian - S03E02 - Chapter 18 - The Mines of Mandalore WEBDL-480p-mv-mv.mp4                                                                   | -18.7                | 23.6                  | 2.5                | True                    | 2          | severe_clipping
683710 | Star Trek - Strange New Worlds - S02E08 - Under the Cloak of War WEBRip-720p-mv.mp4                                                     | T:\Star Trek - Strange New Worlds\Season 2\Star Trek - Strange New Worlds - S02E08 - Under the Cloak of War WEBRip-720p-mv.mp4                                                    | -20.7                | 17.5                  | 2.4                | None                    | 1          | severe_clipping
682528 | Fargo - S05E02 - Trials and Tribulations WEBDL-480p-mv.mp4                                                                              | T:\Fargo\Season 5\Fargo - S05E02 - Trials and Tribulations WEBDL-480p-mv.mp4                                                                                                      | -23.0                | 16.5                  | 2.3                | None                    | 1          | severe_clipping
683780 | Fate+Grand Order - Absolute Demonic Front - Babylonia - S01E01 - Absolute Demonic Front - Babylonia SDTV-mv.mp4                         | T:\Fate+Grand Order - Absolute Demonic Front - Babylonia\Season 1\Fate+Grand Order - Absolute Demonic Front - Babylonia - S01E01 - Absolute Demonic Front - Babylonia SDTV-mv.mp4 | -17.2                | 16.8                  | 2.3                | None                    | 1          | severe_clipping
682254 | In the Dark (2019) - S04E03 - If Books Could Kill WEBDL-720p-mv.mp4                                                                     | T:\In the Dark (2019)\Season 4\In the Dark (2019) - S04E03 - If Books Could Kill WEBDL-720p-mv.mp4                                                                                | -23.6                | 13.0                  | 2.2                | None                    | 1          | severe_clipping
76     | 30 Rock - S04E13 - Anna Howard Shaw Day Bluray-1080p-mv.mp4                                                                             | T:\30 Rock\Season 4\30 Rock - S04E13 - Anna Howard Shaw Day Bluray-1080p-mv.mp4                                                                                                   | -21.7                | 6.7                   | 2.2                | True                    | 1          | severe_clipping
683247 | Yellowstone (2018) - S02E05 - Touching Your Enemy WEBDL-480p-mv-mv.mp4                                                                  | T:\Yellowstone (2018)\Season 2\Yellowstone (2018) - S02E05 - Touching Your Enemy WEBDL-480p-mv-mv.mp4                                                                             | -20.5                | 17.3                  | 2.2                | True                    | 2          | severe_clipping
683014 | Evil - S02E04 - E Is for Elevator WEBRip-1080p-mv.mp4                                                                                   | T:\Evil (2023)\Season 2\Evil - S02E04 - E Is for Elevator WEBRip-1080p-mv.mp4                                                                                                     | -20.3                | 19.6                  | 2.2                | None                    | 1          | severe_clipping
683019 | The Mandalorian - S01E07 - Chapter 7 - The Reckoning WEBRip-720p-mv-mv.mp4                                                              | T:\The Mandalorian\Season 1\The Mandalorian - S01E07 - Chapter 7 - The Reckoning WEBRip-720p-mv-mv.mp4                                                                            | -19.8                | 19.1                  | 2.1                | True                    | 2          | severe_clipping
683880 | Fallout - S01E04 - The Ghouls WEBDL-720p-mv.mp4                                                                                         | T:\Fallout\Season 1\Fallout - S01E04 - The Ghouls WEBDL-720p-mv.mp4                                                                                                               | -23.2                | 18.0                  | 1.9                | None                    | 1          | severe_clipping
682611 | Scorpion - S01E01 - Pilot Bluray-480p-mv.mp4                                                                                            | T:\Scorpion\Season 1\Scorpion - S01E01 - Pilot Bluray-480p-mv.mp4                                                                                                                 | -17.2                | 19.2                  | 1.9                | None                    | 1          | severe_clipping
672331 | For All Mankind - S05E09 - Sons and Daughters WEBDL-480p-mv.mp4                                                                         | T:\For All Mankind\Season 5\For All Mankind - S05E09 - Sons and Daughters WEBDL-480p-mv.mp4                                                                                       | -19.2                | 23.1                  | 1.8                | True                    | 1          | severe_clipping
682537 | Fargo - S04E01 - Welcome to the Alternate Economy WEBRip-720p-mv-mv.mp4                                                                 | T:\Fargo\Season 4\Fargo - S04E01 - Welcome to the Alternate Economy WEBRip-720p-mv-mv.mp4                                                                                         | -20.8                | 18.2                  | 1.7                | True                    | 2          | severe_clipping
683327 | American Horror Story - S03E06 - The Axeman Cometh WEBDL-720p-mv.mp4                                                                    | T:\American Horror Story\Season 3\American Horror Story - S03E06 - The Axeman Cometh WEBDL-720p-mv.mp4                                                                            | -19.7                | 11.8                  | 1.7                | None                    | 1          | severe_clipping
